%,Fee Earner,Case Worker,ID,Start Date
7,BLUE TEAM,BLUE TEAM,846955,12/07/2024
6,BLUE TEAM,BLUE TEAM,846802,12/07/2024
7,BLUE TEAM,BLUE TEAM,846721,11/07/2024
7,BLUE TEAM,BLUE TEAM,846546,11/07/2024
7,BLUE TEAM,BLUE TEAM,846480,11/07/2024
7,BLUE TEAM,BLUE TEAM,846471,11/07/2024
7,BLUE TEAM,BLUE TEAM,846459,11/07/2024
7,BLUE TEAM,BLUE TEAM,846410,11/07/2024
7,BLUE TEAM,BLUE TEAM,846403,11/07/2024
7,BLUE TEAM,BLUE TEAM,846208,10/07/2024
7,BLUE TEAM,BLUE TEAM,846082,10/07/2024
7,BLUE TEAM,BLUE TEAM,846033,10/07/2024
6,BLUE TEAM,BLUE TEAM,846024,10/07/2024
7,BLUE TEAM,BLUE TEAM,846014,10/07/2024
7,BLUE TEAM,BLUE TEAM,845937,10/07/2024
7,BLUE TEAM,BLUE TEAM,845877,10/07/2024
6,BLUE TEAM,BLUE TEAM,845865,10/07/2024
7,BLUE TEAM,BLUE TEAM,845762,10/07/2024
7,BLUE TEAM,BLUE TEAM,845697,10/07/2024
7,BLUE TEAM,BLUE TEAM,845555,09/07/2024
6,BLUE TEAM,BLUE TEAM,845380,09/07/2024
7,BLUE TEAM,BLUE TEAM,845361,09/07/2024
7,BLUE TEAM,BLUE TEAM,845302,09/07/2024
7,BLUE TEAM,BLUE TEAM,845131,09/07/2024
7,BLUE TEAM,BLUE TEAM,845115,09/07/2024
7,BLUE TEAM,BLUE TEAM,845051,08/07/2024
7,BLUE TEAM,BLUE TEAM,844981,08/07/2024
7,BLUE TEAM,BLUE TEAM,844904,08/07/2024
7,BLUE TEAM,BLUE TEAM,844842,08/07/2024
7,BLUE TEAM,BLUE TEAM,844558,08/07/2024
7,BLUE TEAM,BLUE TEAM,843928,04/07/2024
7,BLUE TEAM,BLUE TEAM,843875,04/07/2024
7,BLUE TEAM,BLUE TEAM,843551,04/07/2024
7,BLUE TEAM,BLUE TEAM,843525,04/07/2024
7,BLUE TEAM,BLUE TEAM,843502,04/07/2024
7,BLUE TEAM,BLUE TEAM,843496,04/07/2024
7,BLUE TEAM,BLUE TEAM,843428,03/07/2024
7,BLUE TEAM,BLUE TEAM,843410,03/07/2024
7,BLUE TEAM,BLUE TEAM,843108,03/07/2024
7,BLUE TEAM,BLUE TEAM,843055,03/07/2024
7,BLUE TEAM,BLUE TEAM,842721,02/07/2024
7,BLUE TEAM,BLUE TEAM,842540,02/07/2024
7,BLUE TEAM,BLUE TEAM,842362,02/07/2024
7,BLUE TEAM,BLUE TEAM,841960,01/07/2024
7,BLUE TEAM,BLUE TEAM,841767,01/07/2024
7,BLUE TEAM,BLUE TEAM,774371,28/06/2024
7,BLUE TEAM,BLUE TEAM,774258,28/06/2024
7,BLUE TEAM,BLUE TEAM,774058,28/06/2024
7,BLUE TEAM,BLUE TEAM,774052,28/06/2024
7,BLUE TEAM,BLUE TEAM,773761,27/06/2024
7,BLUE TEAM,BLUE TEAM,773455,27/06/2024
7,BLUE TEAM,BLUE TEAM,773240,26/06/2024
7,BLUE TEAM,BLUE TEAM,772737,25/06/2024
7,BLUE TEAM,BLUE TEAM,772537,25/06/2024
7,BLUE TEAM,BLUE TEAM,772226,24/06/2024
6,BLUE TEAM,BLUE TEAM,772079,24/06/2024
6,BLUE TEAM,BLUE TEAM,771745,22/06/2024
7,BLUE TEAM,BLUE TEAM,771179,20/06/2024
7,BLUE TEAM,BLUE TEAM,771155,20/06/2024
7,BLUE TEAM,BLUE TEAM,770772,20/06/2024
7,BLUE TEAM,BLUE TEAM,770683,20/06/2024
6,BLUE TEAM,BLUE TEAM,770680,20/06/2024
7,BLUE TEAM,BLUE TEAM,769835,18/06/2024
7,BLUE TEAM,BLUE TEAM,769511,18/06/2024
7,BLUE TEAM,BLUE TEAM,769331,17/06/2024
7,BLUE TEAM,BLUE TEAM,769250,17/06/2024
7,BLUE TEAM,BLUE TEAM,768739,14/06/2024
7,BLUE TEAM,BLUE TEAM,768004,13/06/2024
7,BLUE TEAM,BLUE TEAM,767920,13/06/2024
6,BLUE TEAM,BLUE TEAM,767157,12/06/2024
6,BLUE TEAM,BLUE TEAM,766878,11/06/2024
7,BLUE TEAM,BLUE TEAM,766837,11/06/2024
7,BLUE TEAM,BLUE TEAM,766110,10/06/2024
7,BLUE TEAM,BLUE TEAM,765912,08/06/2024
7,BLUE TEAM,BLUE TEAM,764456,05/06/2024
6,BLUE TEAM,BLUE TEAM,764126,05/06/2024
7,BLUE TEAM,BLUE TEAM,763928,04/06/2024
7,BLUE TEAM,BLUE TEAM,763486,04/06/2024
7,BLUE TEAM,BLUE TEAM,763019,03/06/2024
6,BLUE TEAM,BLUE TEAM,762673,31/05/2024
7,BLUE TEAM,BLUE TEAM,762270,31/05/2024
7,BLUE TEAM,BLUE TEAM,762090,30/05/2024
7,BLUE TEAM,BLUE TEAM,761735,30/05/2024
7,BLUE TEAM,BLUE TEAM,761446,29/05/2024
7,BLUE TEAM,BLUE TEAM,760873,28/05/2024
7,BLUE TEAM,BLUE TEAM,759283,23/05/2024
6,BLUE TEAM,BLUE TEAM,758825,22/05/2024
7,BLUE TEAM,BLUE TEAM,758709,22/05/2024
7,BLUE TEAM,BLUE TEAM,758456,21/05/2024
7,BLUE TEAM,BLUE TEAM,758410,21/05/2024
6,BLUE TEAM,BLUE TEAM,757994,21/05/2024
7,BLUE TEAM,BLUE TEAM,756591,16/05/2024
6,BLUE TEAM,BLUE TEAM,755160,14/05/2024
7,BLUE TEAM,BLUE TEAM,754742,13/05/2024
7,BLUE TEAM,BLUE TEAM,754685,13/05/2024
7,BLUE TEAM,BLUE TEAM,753975,10/05/2024
6,BLUE TEAM,BLUE TEAM,751237,02/05/2024
7,BLUE TEAM,BLUE TEAM,751108,02/05/2024
6,BLUE TEAM,BLUE TEAM,750965,02/05/2024
6,BLUE TEAM,BLUE TEAM,732475,29/04/2024
7,BLUE TEAM,BLUE TEAM,732156,29/04/2024
6,BLUE TEAM,BLUE TEAM,730700,24/04/2024
